imnames,label
ILSVRC2012_val_00000001.png,65
ILSVRC2012_val_00000002.png,970
ILSVRC2012_val_00000003.png,230
ILSVRC2012_val_00000004.png,809
ILSVRC2012_val_00000005.png,516
ILSVRC2012_val_00000006.png,57
ILSVRC2012_val_00000007.png,334
ILSVRC2012_val_00000008.png,415
ILSVRC2012_val_00000009.png,674
ILSVRC2012_val_00000010.png,332
ILSVRC2012_val_00000011.png,109
ILSVRC2012_val_00000012.png,286
ILSVRC2012_val_00000013.png,370
ILSVRC2012_val_00000014.png,757
ILSVRC2012_val_00000015.png,595
ILSVRC2012_val_00000016.png,147
ILSVRC2012_val_00000017.png,108
ILSVRC2012_val_00000018.png,23
ILSVRC2012_val_00000019.png,478
ILSVRC2012_val_00000020.png,517
ILSVRC2012_val_00000021.png,334
ILSVRC2012_val_00000022.png,173
ILSVRC2012_val_00000023.png,948
ILSVRC2012_val_00000024.png,727
ILSVRC2012_val_00000025.png,23
ILSVRC2012_val_00000026.png,846
ILSVRC2012_val_00000027.png,270
ILSVRC2012_val_00000028.png,167
ILSVRC2012_val_00000029.png,55
ILSVRC2012_val_00000030.png,858
ILSVRC2012_val_00000031.png,324
ILSVRC2012_val_00000032.png,573
ILSVRC2012_val_00000033.png,150
ILSVRC2012_val_00000034.png,981
ILSVRC2012_val_00000035.png,586
ILSVRC2012_val_00000036.png,887
ILSVRC2012_val_00000037.png,32
ILSVRC2012_val_00000038.png,398
ILSVRC2012_val_00000039.png,777
ILSVRC2012_val_00000040.png,74
ILSVRC2012_val_00000041.png,516
ILSVRC2012_val_00000042.png,756
ILSVRC2012_val_00000043.png,129
ILSVRC2012_val_00000044.png,198
ILSVRC2012_val_00000045.png,256
ILSVRC2012_val_00000046.png,725
ILSVRC2012_val_00000047.png,565
ILSVRC2012_val_00000048.png,167
ILSVRC2012_val_00000049.png,717
ILSVRC2012_val_00000050.png,394
ILSVRC2012_val_00000051.png,92
ILSVRC2012_val_00000052.png,29
ILSVRC2012_val_00000053.png,844
ILSVRC2012_val_00000054.png,591
ILSVRC2012_val_00000055.png,358
ILSVRC2012_val_00000056.png,468
ILSVRC2012_val_00000057.png,259
ILSVRC2012_val_00000058.png,994
ILSVRC2012_val_00000059.png,872
ILSVRC2012_val_00000060.png,588
ILSVRC2012_val_00000061.png,474
ILSVRC2012_val_00000062.png,183
ILSVRC2012_val_00000063.png,107
ILSVRC2012_val_00000064.png,46
ILSVRC2012_val_00000065.png,842
ILSVRC2012_val_00000066.png,390
ILSVRC2012_val_00000067.png,101
ILSVRC2012_val_00000068.png,887
ILSVRC2012_val_00000069.png,870
ILSVRC2012_val_00000070.png,841
ILSVRC2012_val_00000071.png,467
ILSVRC2012_val_00000072.png,149
ILSVRC2012_val_00000073.png,21
ILSVRC2012_val_00000074.png,476
ILSVRC2012_val_00000075.png,80
ILSVRC2012_val_00000076.png,424
ILSVRC2012_val_00000077.png,159
ILSVRC2012_val_00000078.png,275
ILSVRC2012_val_00000079.png,175
ILSVRC2012_val_00000080.png,461
ILSVRC2012_val_00000081.png,970
ILSVRC2012_val_00000082.png,160
ILSVRC2012_val_00000083.png,788
ILSVRC2012_val_00000084.png,58
ILSVRC2012_val_00000085.png,479
ILSVRC2012_val_00000086.png,498
ILSVRC2012_val_00000087.png,369
ILSVRC2012_val_00000088.png,28
ILSVRC2012_val_00000089.png,487
ILSVRC2012_val_00000090.png,50
ILSVRC2012_val_00000091.png,270
ILSVRC2012_val_00000092.png,383
ILSVRC2012_val_00000093.png,366
ILSVRC2012_val_00000094.png,780
ILSVRC2012_val_00000095.png,373
ILSVRC2012_val_00000096.png,705
ILSVRC2012_val_00000097.png,330
ILSVRC2012_val_00000098.png,142
ILSVRC2012_val_00000099.png,949
ILSVRC2012_val_00000100.png,349
ILSVRC2012_val_00000101.png,473
ILSVRC2012_val_00000102.png,159
ILSVRC2012_val_00000103.png,872
ILSVRC2012_val_00000104.png,878
ILSVRC2012_val_00000105.png,201
ILSVRC2012_val_00000106.png,906
ILSVRC2012_val_00000107.png,70
ILSVRC2012_val_00000108.png,486
ILSVRC2012_val_00000109.png,632
ILSVRC2012_val_00000110.png,608
ILSVRC2012_val_00000111.png,122
ILSVRC2012_val_00000112.png,720
ILSVRC2012_val_00000113.png,227
ILSVRC2012_val_00000114.png,686
ILSVRC2012_val_00000115.png,173
ILSVRC2012_val_00000116.png,959
ILSVRC2012_val_00000117.png,638
ILSVRC2012_val_00000118.png,646
ILSVRC2012_val_00000119.png,664
ILSVRC2012_val_00000120.png,645
ILSVRC2012_val_00000121.png,718
ILSVRC2012_val_00000122.png,483
ILSVRC2012_val_00000123.png,852
ILSVRC2012_val_00000124.png,392
ILSVRC2012_val_00000125.png,311
ILSVRC2012_val_00000126.png,457
ILSVRC2012_val_00000127.png,352
ILSVRC2012_val_00000128.png,22
ILSVRC2012_val_00000129.png,934
ILSVRC2012_val_00000130.png,283
ILSVRC2012_val_00000131.png,802
ILSVRC2012_val_00000132.png,553
ILSVRC2012_val_00000133.png,276
ILSVRC2012_val_00000134.png,236
ILSVRC2012_val_00000135.png,751
ILSVRC2012_val_00000136.png,343
ILSVRC2012_val_00000137.png,528
ILSVRC2012_val_00000138.png,328
ILSVRC2012_val_00000139.png,969
ILSVRC2012_val_00000140.png,558
ILSVRC2012_val_00000141.png,163
ILSVRC2012_val_00000142.png,328
ILSVRC2012_val_00000143.png,771
ILSVRC2012_val_00000144.png,726
ILSVRC2012_val_00000145.png,977
ILSVRC2012_val_00000146.png,875
ILSVRC2012_val_00000147.png,265
ILSVRC2012_val_00000148.png,686
ILSVRC2012_val_00000149.png,590
ILSVRC2012_val_00000150.png,975
ILSVRC2012_val_00000151.png,620
ILSVRC2012_val_00000152.png,637
ILSVRC2012_val_00000153.png,39
ILSVRC2012_val_00000154.png,115
ILSVRC2012_val_00000155.png,937
